Messier;NGC;Object type / Type d'objet;Season / Saison;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA (Right Ascension);Dec (Declinaison);Distance (l.y / a. l.);Size / Dimensions;Discoverer / Découvreur;Year / Année;Image;URL de l'image;Constellation
M23;NGC 6494;Open Cluster / Amas Ouvert;Summer / Été;5;Archer;Sagittaire;Sagittarius;17:57:04.77;-18:59:07.2;2150;25,0';Messier;1764;http://www.lasam.ca/messier/M023.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/ff119a9dfc69d428705050aa76dbb11a;Sgr
M25;IC4725;Open Cluster / Amas Ouvert;Summer / Été;4;Archer;Sagittaire;Sagittarius;18:31:46.77;-19:06:53.8;2060;35,0';Chéseaux;1746;http://www.lasam.ca/messier/M025.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/c18a9c95c4de885305003df09bc0b129;Sgr
M54;NGC 6715;Globular Cluster / Amas Globulaire;Summer / Été;7;Archer;Sagittaire;Sagittarius;18:55:03.27;-30:28:42.6;49000;5,5';Messier;1778;http://www.lasam.ca/messier/M054.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/8b3604c4ff6814a981af8cbd38c607ee;Sgr
M62;NGC 6266;Globular Cluster / Amas Globulaire;Summer / Été;6;Serpent Holder;Ophiuchus;Ophiuchus;17:01:12.60;-30:06:44.5;22500;6,3';Messier;1771;http://www.lasam.ca/messier/M062.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d06bc159284f4078fd9134d9577bc700;Oph
M64;NGC 4826;Galaxy / Galaxie;Spring / Printemps;8;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:56:43.64;+21:40:58.7;11800000;9,3' x 5,4';Bode;1775;http://www.lasam.ca/messier/M064.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/96e7c96295c70aeecae2bb112aa7783e;Com
M67;NGC 2682;Open Cluster / Amas Ouvert;Spring / Printemps;6;Crab;Cancer;Cancer;08:51:20.13;+11:48:43.0;2600;27,0';Koehler;1778;http://www.lasam.ca/messier/M067.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/58e4e9e693132bcfabbbfdb507939897;Cnc
M71;NGC 6838;Globular Cluster / Amas Globulaire;Summer / Été;8;Arrow;Flèche;Sagitta;19:53:46.11;+18:46:42.2;13000;6,1';Chéseaux;1746;http://www.lasam.ca/messier/M071.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b30b278daf4eb206dfa1a2c076405697;Sge
M98;NGC 4192;Galaxy / Galaxie;Spring / Printemps;10;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:13:48.29;+14:54:01.2;36000000;9,5' x 3,2';Méchain;1781;http://www.lasam.ca/messier/M098.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/8d5ed4e0abe4747874fec92578f50b4a;Com
M102;NGC 5866;Galaxy / Galaxie;Spring / Printemps;10;;;;;;23000000;5,2' x 2,3';Méchain;1781;http://www.lasam.ca/messier/M102.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/be672217c1adf046a98269febe970de4;
M103;NGC 581;Open Cluster / Amas Ouvert;Autumn / Automne;7;Cassiopeia;Cassiopée;Cassiopeia;01:33:21.81;+60:39:28.8;8500;5,0';Méchain;1781;http://www.lasam.ca/messier/M103.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/e78e6f4f80a2ae2cb8197aa0740ad975;Cas
M106;NGC 4258;Galaxy / Galaxie;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;12:18:57.50;+47:18:14.3;20000000;18,0' x 7,9';Méchain;1781;http://www.lasam.ca/messier/M106.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/3652e8d678cf1a56720bf0e86e38fa20;CVn
M70;NGC 6681;Globular Cluster / Amas Globulaire;Summer / Été;8;Archer;Sagittaire;Sagittarius;18:43:12.64;-32:17:30.8;65000;4,1';Messier;1780;http://www.lasam.ca/messier/M070.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/e664481efead034f54af20e50bfce8f0;Sgr
M50;NGC 2323;Open Cluster / Amas Ouvert;Winter / Hiver;5;Unicorn;Licorne;Monoceros;07:02:40.47;-08:21:50.5;2950;16,0. x 5,5';Cassini;1710;http://www.lasam.ca/messier/M050.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b57cd7278a77f27db822dc3b2a3fd330;Mon
M61;NGC 4303;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:21:54.90;+04:28:25.1;41000000;6,0' x 5,5';Oriani;1779;http://www.lasam.ca/messier/M061.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/93c04111b9eea5f01925db31d67bb866;Vir
M40;Winnecke 4;Double star / Étoile Double;Spring / Printemps;9;;;;;;;;Hevelius;1660;http://www.lasam.ca/messier/M040.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/86cc361448cba451bb6dd75a43e55d23;
M94;NGC 4736;Galaxy / Galaxie;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;12:50:53.06;+41:07:13.6;32600000;11,0' x 9,1';Méchain;1781;http://www.lasam.ca/messier/M094.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/8c106b857bd4916cfc4712b82690df78;CVn
M97;NGC 3587;Planetary Nebula / Nébuleuse Planétaire;Spring / Printemps;11;Big Bear;Grande Ourse;Ursa Major;11:14:47.71;+55:01:08.5;10000;194'';Méchain;1781;http://www.lasam.ca/messier/M097.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d744f41706a9b3810b36584de9d75801;UMa
M81;NGC 3031;Galaxy / Galaxie;Spring / Printemps;6;Big Bear;Grande Ourse;Ursa Major;09:55:33.17;+69:03:55.1;8500000;26,0' x 14,0';Bode;1774;http://www.lasam.ca/messier/M081.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/98b8df1b91995265cc8974c72394d802;UMa
M92;NGC 6341;Globular Cluster / Amas Globulaire;Summer / Été;6;Hercules;Hercule;Hercules;17:17:07.27;+43:08:11.5;28400;12,2';Bode;1777;http://www.lasam.ca/messier/M092.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/6c4a2a8d2f30863dd42d987e71d9fa31;Her
M90;NGC 4560;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:36:49.79;+13:09:46.6;41000000;9,5' x 4,7';Messier;1781;http://www.lasam.ca/messier/M090.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/24533f4722df7e1a3a89b6314be09bcd;Vir
M87;NGC 4486;Galaxy / Galaxie;Spring / Printemps;8;Virgin;Vierge;Virgo;12:30:49.42;+12:23:28.0;63000000;7,2' x 6,8';Messier;1781;http://www.lasam.ca/messier/M087.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/23f8026f16d2f4c0e59b77f9c33a5917;Vir
M2;NGC 7089;Globular Cluster / Amas Globulaire;Autumn / Automne;6;Water Bearer;Verseau;Aquarius;21:33:27.01;-00:49:23.9;55000;11,7';Maraldi;1746;http://www.lasam.ca/messier/M002.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/72a28fa7cc3d992875d9228e54c1027a;Aqr
M6;NGC 6504;Open Cluster / Amas Ouvert;Summer / Été;4;Scorpion;Scorpion;Scorpius;17:40:20.75;-32:15:15.0;1300;15,0';Hodierna;1654;http://www.lasam.ca/messier/M006.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/76fec88c92a5b715e2d1d7aa5e5f47bf;Sco
M17;NGC 6618;Emission Nebula / Nébuleuse à émission;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:20:47.11;-16:10:17.5;5870;45,0' x 35,0';Chéseaux;1746;http://www.lasam.ca/messier/M017.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/12d9d5ca3b75f3157f4c82de00a17864;Sgr
M27;NGC 6853;Planetary Nebula / Nébuleuse Planétaire;Summer / Été;8;Little Fox;Petit Renard;Vulpecula;19:59:36.38;+22:43:15.7;980;348,0'';Messier;1764;http://www.lasam.ca/messier/M027.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/5494a23d572d4041e15188e415c463a0;Vul
M28;NGC 6626;Globular Cluster / Amas Globulaire;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:24:32.89;-24:52:11.4;19000;15,0';Messier;1764;http://www.lasam.ca/messier/M028.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/c4787a8e91306e913db4e32168b34622;Sgr
M101;NGC 5457;Galaxy / Galaxie;Spring / Printemps;7;Big Bear;Grande Ourse;Ursa Major;14:03:12.54;+54:20:56.2;23000000;27,0' x 26,0';Méchain;1781;http://www.lasam.ca/messier/M101.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/0eb14758ee56fb463d6f42d798673e4f;UMa
M34;NGC 1039;Open Cluster / Amas Ouvert;Autumn / Automne;5;Perseus;Persée;Perseus;02:42:07.40;+42:44:46.1;1450;35,0';Messier;1764;http://www.lasam.ca/messier/M034.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/f77873064c67256350aa5817915fe480;Per
M56;NGC 6779;Globular Cluster / Amas Globulaire;Summer / Été;8;Lyre;Lyre;Lyra;19:16:35.51;+30:11:04.2;45600;2,4';Messier;1779;http://www.lasam.ca/messier/M056.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/6f114f36addc2958e48cdaa537814ccd;Lyr
M109;NGC 3992;Galaxy / Galaxie;Autumn / Automne;9;Big Bear;Grande Ourse;Ursa Major;11:57:35.98;+53:22:28.3;27000000;7,6' x 4,9';Méchain;1782;http://www.lasam.ca/messier/M109.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/ec85cad083cafcaf2030144edbf280d7;UMa
M110;NGC 205;Galaxy / Galaxie;Autumn / Automne;8;Andromeda;Andromède;Andromeda;00:40:22.08;+41:41:07.1;2250000;17,0, x 9,8';Messier;1773;http://www.lasam.ca/messier/M110.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/846fe85c601053437fe9497d9eb6c522;And
M9;NGC 6333;Globular Cluster / Amas Globulaire;Summer / Été;7;Serpent Holder;Ophiuchus;Ophiuchus;17:19:11.78;-18:30:58.5;25800;5,5';Messier;1764;http://www.lasam.ca/messier/M009.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/5f5ace9ee1c128a336b845ef0262e69c;Oph
M1;NGC 1952;Supernova remnant / Reste de Supernova;Winter / Hiver;8;Bull;Taureau;Taurus;05:34:31.97;+22:00:52.1;6500;6,0' x 4,0';Bévis;1731;http://www.lasam.ca/messier/M001.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/9e2732e960c78804a2ee3fa059c69231;Tau
M22;NGC 6656;Globular Cluster / Amas Globulaire;Summer / Été;5;Archer;Sagittaire;Sagittarius;18:36:24.20;-23:54:12.3;7800;17,0';Ihle;1665;http://www.lasam.ca/messier/M022.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/ae30dc0b097efe181077683d076f675c;Sgr
M30;NGC 7099;Globular Cluster / Amas Globulaire;Autumn / Automne;7;Goat;Capricorne;Capricornus;21:40:22.02;-23:10:44.7;41000;8,9';Messier;1764;http://www.lasam.ca/messier/M030.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d8dec275d51809c5e4ac837cb5e29015;Cap
M12;NGC 6218;Globular Cluster / Amas Globulaire;Summer / Été;6;Serpent Holder;Ophiuchus;Ophiuchus;16:47:14.52;-01:56:52.2;18900;12,2';Messier;1764;http://www.lasam.ca/messier/M012.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/686b853d137708ef283311e638592387;Oph
M13;NGC 6205;Globular Cluster / Amas Globulaire;Summer / Été;5;Hercules;Hercule;Hercules;16:41:41.63;+36:27:40.7;23500;23,2';Halley;1714;http://www.lasam.ca/messier/M013.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/50043671892eb3ae293cac3cb5fd0cab;Her
M19;NGC 6273;Globular Cluster / Amas Globulaire;Summer / Été;7;Serpent Holder;Ophiuchus;Ophiuchus;17:02:37.68;-26:16:04.6;22500;5,3';Messier;1764;http://www.lasam.ca/messier/M019.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/f38fcadac00a438f2d62eb1fe18d0a21;Oph
M26;NGC 6694;Open Cluster / Amas Ouvert;Summer / Été;8;Shield;L’Écu de Sobieski;Scutum;18:45:18.66;-09:23:01.0;5100;15,0';Le Gentil;1749;http://www.lasam.ca/messier/M026.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/240b168d69adbe1a578c0212cc0feff8;Sct
M32;NGC 221;Galaxy / Galaxie;Autumn / Automne;8;Andromeda;Andromède;Andromeda;00:42:41.83;+40:51:55.0;;7,6' x 5,8';Le Gentil;1749;http://www.lasam.ca/messier/M032.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/07dd9434047a7dedf82187c513b2eb3e;And
M38;NGC 1912;Open Cluster / Amas Ouvert;Winter / Hiver;6;Charioteer;Cocher;Auriga;05:28:42.49;+35:51:17.7;2750;21,0';Hodierna;1654;http://www.lasam.ca/messier/M038.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/483fc12f9290bcb0c244b5e65b774e54;Aur
M42;NGC 9176;Emission Nebula / Nébuleuse à émission;Winter / Hiver;4;Orion, Hunter;Orion;Orion;05:35:16.48;-05:23:22.8;1500;30,0';Peiresc;1610;http://www.lasam.ca/messier/M042.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/90397cbe3746fedbf7f3fe98dd95c2f2;Ori
M43;NGC 1982;Reflection Nebula / Nébuleuse à réflexion;Winter / Hiver;9;Orion, Hunter;Orion;Orion;05:35:31.38;-05:16:02.9;1500;20,0' x 15,0';Mairan;1750;http://www.lasam.ca/messier/M043.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/b088495502b56818375fb970311cf4d1;Ori
M45;;Open Cluster / Amas Ouvert;Winter / Hiver;1;;;;;;410;120,0';;;http://www.lasam.ca/messier/M045.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/3f56749618b208f4a29b63292151475e;
M52;NGC 7654;Open Cluster / Amas Ouvert;Autumn / Automne;6;Cassiopeia;Cassiopée;Cassiopeia;23:24:48.40;+61:35:35.4;3000;13,0';Messier;1774;http://www.lasam.ca/messier/M052.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/55c837dd2b2cb395ef59bddf713bc791;Cas
M53;NGC 5024;Globular Cluster / Amas Globulaire;Spring / Printemps;7;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;13:12:55.23;+18:10:08.8;69000;14,4';Bode;1775;http://www.lasam.ca/messier/M053.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4a1d56b7713c16cbe97e397d9b2aee83;Com
M55;NGC 6809;Globular Cluster / Amas Globulaire;Summer / Été;7;Archer;Sagittaire;Sagittarius;19:39:59.40;-30:57:43.5;20000;14,8';Lacaille;1751;http://www.lasam.ca/messier/M055.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/fdf05919dcf9a0e97cd120ae69f6db83;Sgr
M58;NGC 4579;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:37:43.52;+11:49:05.5;41000000;5,4' x 4,4';Messier;1779;http://www.lasam.ca/messier/M058.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/fdae19a169fcd3dd1df72a00a8ca29ff;Vir
M60;NGC 4649;Galaxy / Galaxie;Spring / Printemps;8;Virgin;Vierge;Virgo;12:43:39.98;+11:33:09.7;41000000;7,2' x 6,2';Koehler;1779;http://www.lasam.ca/messier/M060.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/f3eb52d394d6faf0a835a793b13a4925;Vir
M68;NGC 4590;Globular Cluster / Amas Globulaire;Spring / Printemps;8;Hydra, Sea Snake;Hydre;Hydra;12:39:28.01;-26:44:34.9;36000;9,8';Méchain;1780;http://www.lasam.ca/messier/M068.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/463c07501631673232605106f7fae95f;Hya
M83;NGC 5236;Galaxy / Galaxie;Spring / Printemps;7;Hydra, Sea Snake;Hydre;Hydra;13:37:00.95;-29:51:55.5;8500000;11,0' x 10,0';Lacaille;1751;http://www.lasam.ca/messier/M083.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d1a983cfd6854a987f370d22aa518c60;Hya
M86;NGC 4406;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:26:11.74;+12:56:46.4;20000000;7,4' x 5,5';Messier;1781;http://www.lasam.ca/messier/M086.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/27df2430c095f56f65f63bbb304b032e;Vir
M47;NGC 2422;Open Cluster / Amas Ouvert;Winter / Hiver;4;Stern,Poop deck;Poupe;Puppis;07:36:35.02;-14:28:57.4;1750;22,0';Hodierna;1654;http://www.lasam.ca/messier/M047.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/095f19d850f27140faf38bb6f75d0d1c;Pup
M65;NGC 3623;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;11:18:55.92;+13:05:32.5;29000000;10,0' x 3,3';Méchain;1780;http://www.lasam.ca/messier/M065.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/0da15d5d0bb1bb0c0d3a876bcf6cebc0;Leo
M79;NGC 1904;Globular Cluster / Amas Globulaire;Winter / Hiver;8;Hare;Lièvre;Lepus;05:24:10.59;-24:31:27.2;43400;7,8';Méchain;1780;http://www.lasam.ca/messier/M079.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/4f70401504999a3f173169f160b545f3;Lep
M84;NGC 4374;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:25:03.74;+12:53:13.1;41000000;5,0' x 4,4';Messier;1781;http://www.lasam.ca/messier/M084.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/5338a7e027e132bbb2c7e00b94249fa9;Vir
M20;NGC 6514;Emission Nebula / Nébuleuse à émission;Summer / Été;6;Archer;Sagittaire;Sagittarius;18:02:42.11;-22:58:18.8;2300;29,0' x 27,0';Le Gentil;1749;http://www.lasam.ca/messier/M020.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/78c02c7247e4b158d47d911995fa498b;Sgr
M10;NGC 6254;Globular Cluster / Amas Globulaire;Summer / Été;6;Serpent Holder;Ophiuchus;Ophiuchus;16:57:08.99;-04:05:57.6;16300;12,2';Messier;1764;http://www.lasam.ca/messier/M010.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/dc53b1bdbeaec70be1cfffe6a8ddb11e;Oph
M14;NGC 6402;Globular Cluster / Amas Globulaire;Summer / Été;7;Serpent Holder;Ophiuchus;Ophiuchus;17:37:36.16;-03:14:45.3;24000;6,7';Messier;1764;http://www.lasam.ca/messier/M014.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/d8d2764b73ed02dbff8168ea88e50b74;Oph
M24;NGC 6603;Open Cluster / Amas Ouvert;Summer / Été;11;Archer;Sagittaire;Sagittarius;18:16:56.12;-18:30:52.4;16000;45,0';Messier;1764;http://www.lasam.ca/messier/M024.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/dd4a0f4bd2108422bb8abb2fb6c453f7;Sgr
M33;NGC 598;Galaxy / Galaxie;Autumn / Automne;5;Triangle;Triangle;Triangulum;01:33:50.89;+30:39:36.8;2723000;62,0. x 39,0';Messier;1764;http://www.lasam.ca/messier/M033.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/69d661776ffd8a5b3cfdd819f0455a22;Tri
M85;NGC 4382;Galaxy / Galaxie;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:25:24.11;+18:11:29.4;41000000;7,1' x 5,2';Méchain;1781;http://www.lasam.ca/messier/M085.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/6f5ba5b373b9d98409c648eccca69991;Com
M63;NGC 5055;Galaxy / Galaxie;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;13:15:49.33;+42:01:45.4;23800000;12,0' x 7,6';Méchain;1779;http://www.lasam.ca/messier/M063.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/6cc3be477870d7c2a23c13181ba4ce0c;CVn
M76;NGC 650;Planetary Nebula / Nébuleuse Planétaire;Autumn / Automne;10;Perseus;Persée;Perseus;01:42:19.69;+51:34:31.7;8200;65'';Méchain;1780;http://www.lasam.ca/messier/M076.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/10b05a2559cec6958f11f28d915602c4;Per
M80;NGC 6093;Globular Cluster / Amas Globulaire;Summer / Été;7;Scorpion;Scorpion;Scorpius;16:17:02.51;-22:58:30.4;36000;5,1';Messier;1781;http://www.lasam.ca/messier/M080.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/888d3682b7378784f02c2fbae70bdcfc;Sco
M93;NGC 2447;Open Cluster / Amas Ouvert;Winter / Hiver;6;Stern,Poop deck;Poupe;Puppis;07:44:29.23;-23:51:11.1;3600;22,0';Messier;1781;http://www.lasam.ca/messier/M093.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/6e8bd0766f6b700b69f752b705affb23;Pup
M74;NGC 628;Galaxy / Galaxie;Autumn / Automne;9;Fishes;Les Poissons;Pisces;01:36:41.75;+15:47:01.2;26000000;10,0' x 9,6';Méchain;1780;http://www.lasam.ca/messier/M074.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/366e8c3e374eec05b66820745c8bfddb;Psc
M89;NGC 4552;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:35:39.81;+12:33:22.8;41000000;4,2' x 4,2';Messier;1781;http://www.lasam.ca/messier/M089.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/7dfedc34971b44cb118da7a04dc35c9f;Vir
M37;NGC 2099;Open Cluster / Amas Ouvert;Winter / Hiver;5;Charioteer;Cocher;Auriga;05:52:18.35;+32:33:10.8;3600;24,0';Hodierna;1654;http://www.lasam.ca/messier/M037.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/7e17ed527b55fc1b1afad4bae9f26e47;Aur
M36;NGC 1960;Open Cluster / Amas Ouvert;Winter / Hiver;6;Charioteer;Cocher;Auriga;05:36:17.74;+34:08:26.7;3700;12,0';Hodierna;1654;http://www.lasam.ca/messier/M036.JPG;https://www.datastro.eu/api/v2/catalog/datasets/catalogue-de-messier/files/9121fd0c5dbdb9e77449ba6122791371;Aur
